,Test Set,Development Set,Difference
accuracy,0.7631578947368421,0.7368421052631579,0.026315789473684292
precision,0.7,0.8,-0.10000000000000009
recall,0.8235294117647058,0.5,0.32352941176470584
f1,0.7567567567567568,0.6153846153846154,0.14137214137214138
kappa,0.5289256198347108,0.43113772455089816,0.0977878952838126
